configuration_id,case,matrix_shape,matrix_fingerprint,selected_output,alpha,beta,lambda,contraction_C,polynomial_degree,signal_calls_per_attempt,phase_operations_per_attempt,polynomial_error_uniform,error_on_singular_values,matrix_action_error,qsvt_ridge_error,postselection_probability,postselection_probability_kind,shots_attempted,shots_accepted,readout_estimate,confidence_interval,evidence_status,artifact_paths,generated_by,notes
ieee30_fullrect_generalized_sweep_seed123,ieee30,172x59,,full-update ground-truth RMSE ratio (no single functional),21800.945997434417,4669.148316067333,0.001,15.807498173734963,255,255,256,not_estimated,,2.569748674155831e-14,1.0000017419700216,0.022232292737602,state-dependent quadrature estimate |B^T r_hat|^2,,,,,qsvt_matrix_action,outputs/generalized_rectangular_qsvt/ieee30_useful_overlap_search.csv,scripts/run_generalized_ieee_application.py,"12 candidates (degree x lambda grid), 3 pass the matched-lambda execution-accuracy criterion (QSVT/matched-Ridge ground-truth RMSE ratio <= 1.25); 9 failed candidates retained. Dense exact matrix action; NO state propagation, NO sampled shots, NO transpilation. Row shows the best passing configuration (d=255, lambda=1e-3)."
ieee57_fullrect_escalation_seed123,ieee57,331x113,,full-update ground-truth RMSE ratio (no single functional),39912.14066000867,6317.605611306286,0.001,15.807719482240826,255,255,256,not_estimated,,2.047979582078183e-14,0.9998553262180312,0.0272083307843558,state-dependent quadrature estimate |B^T r_hat|^2,,,,,qsvt_matrix_action,outputs/generalized_rectangular_qsvt/ieee57_escalation_results.csv,scripts/run_generalized_ieee_application.py,"6 executed rows (d in {31,63,127,255}), 2 pass the matched-lambda execution-accuracy criterion at lambda=1e-3; 4 failed rows retained. Dense exact matrix action (10-qubit dilation, <=36 s); NO state propagation, NO sampled shots, NO transpilation. Row shows the best passing configuration (d=255, lambda=1e-3)."
selected4x4_d31_integrated_readout,ieee14 4x4 selected block,4x4,,first-coordinate functional (state_correction_0),,,,,31,31,32,not_estimated,,,0.002846287955366,0.9903957148614684,statevector postselection probability (measured mean 0.9904),30000000,29856010,-0.0042529343209584,mean SE 0.000967 (overlap),sampled_simulator,outputs/phase8_integrated_readout/integrated_readout_summary.csv,scripts/run_phase8_integrated_readout.py,Aer integrated-chain shot sampling (backend label aer_integrated_circuit_shot_sampling); joint postselection+sign estimator.
selected8x8_d31_integrated_readout,ieee14 8x8 selected block,8x8,,first-coordinate functional (state_correction_0),,,,,31,31,32,not_estimated,,,0.0033248626302955,0.9519140790609424,statevector postselection probability (measured mean 0.9519),30000000,29279076,0.003946619065504,mean SE 0.000964 (overlap),sampled_simulator,outputs/phase9_integrated_8x8_readout/integrated_readout_summary.csv,scripts/run_phase9_integrated_8x8_readout.py,Aer integrated-chain shot sampling (backend label aer_integrated_circuit_shot_sampling); joint postselection+sign estimator.
sparse8x8_d31_wrapper,ieee14 8x8 sparsified quantized block,8x8,,postselected update vs Ridge on the quantized block,1134521.3658711074,4041.1277722772575,0.06947163416534,1.9918449969534795,31,31,32,0.0006270745208463,4.562532213148174e-09,5.162329594272048e-12,,0.6090421558900077,statevector postselection probability,,,,,statevector_dense,outputs/phase10_sparse_wrapper_8x8_complete/sparse_wrapper_8x8_qsvt_validation.csv;outputs/phase10_sparse_wrapper_8x8_complete/sparse_wrapper_8x8_validation.csv,scripts/run_phase10_sparse_wrapper_8x8_complete.py,"Complete sparse block-encoding wrapper for ONE quantized 8x8 block; wrapper circuit transpiled to elementary gates (transpiled gate count 3985, depth 2662, cx 1674) - transpiled_complete for the wrapper only; QSVT action statevector-validated. Not IEEE-scale."
ieee14_nonlinear_loop_d31_one_seed,ieee14 nonlinear AC Gauss-Newton,82x27 (rebuilt per iteration),,full-state RMSE trajectory,,recomputed per iteration,recomputed per iteration,,31,31,32,not_estimated,,,0.0006304897840209,,per-iteration values in artifact,,,,,statevector_dense,outputs/phase10_nonlinear_qsvt_in_loop/nonlinear_qsvt_summary.csv;outputs/phase10_nonlinear_qsvt_in_loop/nonlinear_qsvt_iteration_log.csv,scripts/run_phase10_nonlinear_qsvt_loop.py,One-seed interface and consistency check; degree-aware QSVT/Ridge trajectories reach the iteration cap without convergence (negative result retained).
controlled_mlae_aer,controlled amplitude case (not IEEE),,,amplitude estimate,,,,,,,,,,,,,,6400,,MLAE:0.30019; direct_sampling:0.2855; MLAE:0.10163; direct_sampling:0.088,,sampled_simulator,outputs/generalized_rectangular_qsvt/postselection_mitigation_executed_results.csv,scripts/run_generalized_postselection_mitigation.py,MLAE executed on Aer for controlled amplitudes only.
ieee14_postselection_mitigation_model,ieee14,82x27,,modeled oracle-call comparison at epsilon=0.01,,,,,,,,,,,,,,,,,,modeled,outputs/generalized_rectangular_qsvt/postselection_mitigation_cost_comparison.csv,scripts/run_generalized_postselection_mitigation.py,"IEEE-14 MLAE/IQAE cost reduction is MODELED, never executed."
structured_psse_access_classical,ieee14 + ieee30,82x27; 172x59,,row-wise sparse reconstruction of the weighted Jacobian,,,,,,,,,,0.0,,,,,,,,classical_exact,outputs/generalized_rectangular_qsvt/structured_psse_access_ieee14.csv;outputs/generalized_rectangular_qsvt/structured_psse_access_ieee30.csv,scripts/run_generalized_structured_access.py,Classical structured row access reconstructs the dense weighted Jacobian exactly; the quantum QROM/reversible oracle remains modeled (see ieee_quantum_sparse_oracle_model row).
ieee_quantum_sparse_oracle_model,ieee14-ieee300,case-dependent,,T-count model for QROM lookup access,,,,,,,,,,,,,,,,,,modeled,outputs/generalized_rectangular_qsvt/structured_psse_access_report.md,scripts/run_generalized_structured_access.py,Quantum sparse/QROM oracle access is modeled only; compiled 4x4/8x8 lookup circuits exist separately (revision sparse-oracle demo) but no IEEE-scale block encoding is compiled.
classical_baselines_final_config,ieee14,82x27,c113dfa0ee5240182a77d2a845b0f4e950639c49884486d330a5c1351488fa5b,first nonreference voltage-angle update coordinate,76.87225449767783,2772.5846154387755,1e-05,,,,,,,,,,,,,,,classical_exact,outputs/final_useful_overlap_validation/final_classical_baselines.csv;outputs/generalized_rectangular_qsvt/generalized_classical_baselines.csv,scripts/run_final_useful_overlap_validation.py; scripts/run_generalized_classical_baselines.py,Classical solvers are microsecond-fast and exact; no speedup claim.
ieee118_300_resource_models,ieee118; ieee300,case-dependent,,resource models only,,,,,,,,,,,,,,,,,,modeled,outputs/phase10_end_to_end_resource_ledger,scripts/run_phase10_resource_ledger.py,No dense-rectangular execution for IEEE 118/300; models only.
convention_validation_generalized_campaign,controlled real rectangular matrices,2x1 - 12x7 (7 dims x 7 spectral families),,rectangular block vs exact-SVD reference,,,,,"odd {1,3,5,7,15,31,63,127,255}",,,,,3.6072853116594046e-10,,,,,,,,qsvt_matrix_action,outputs/generalized_rectangular_qsvt/heldout_rectangular_matrix_results.csv;outputs/generalized_rectangular_qsvt/degree_generalization_results.csv;outputs/generalized_rectangular_qsvt/complex_rectangular_results.csv;outputs/generalized_rectangular_qsvt/rectangular_convention_symbolic_checks.csv,scripts/run_generalized_rectangular_convention.py,245 held-out real matrices pass; 11 odd rows over 9 distinct odd degrees pass; 6 even probes rejected; 245 complex probes unsupported. Seeds disjoint from development.
convention_validation_final_campaign,controlled real rectangular matrices,held-out sweep (150 matrices),,rectangular block vs exact-SVD reference,,,,,8 degree rows + 5 evaluator rows,,,,,,,,,,,,,qsvt_matrix_action,outputs/final_useful_overlap_validation/heldout_rectangular_validation.csv;outputs/final_useful_overlap_validation/degree_generalization_validation.csv;outputs/final_useful_overlap_validation/independent_mapping_validation.csv,scripts/run_final_useful_overlap_validation.py,150 held-out matrices; separate earlier campaign - counts intentionally differ from the generalized campaign and the two are never merged.
