candidate_id,ieee_case,policy,variant,candidate_linearization_seed,outcome_independent,selector_outcomes_used_for_inclusion,status,failure_reason,selected_rows,selected_columns,matrix_fingerprint,candidate_nonzeros,measurement_type_composition,state_type_composition,primary_structural_feasibility,secondary_structural_feasibility,candidate_file
ieee14_lexicographic_metadata_v00,ieee14,lexicographic_metadata,0,14201,True,False,included,,"[17,42,44,45,46,59,60,61]","[0,1,2,8,9,10,11,12]",ee327e0ca66f78b81b861ab6ca8d70b78b31ada490b58ed0b1a8bcd73d0191b5,15.0,"{""p_branch_flow"":7,""p_injection"":1}","{""angle"":8}",completed,completed,candidates/ieee14/ieee14_lexicographic_metadata_v00.json
ieee14_lexicographic_metadata_v01,ieee14,lexicographic_metadata,1,14201,True,False,included,,"[50,51,52,53,54,55,56,57]","[2,3,4,5,6,7,18,22]",954dcecbdfc1e0d5a48e875139bbce2aa0421fcb82ba4f61518558946e2979f1,17.0,"{""p_branch_flow"":8}","{""angle"":6,""voltage"":2}",completed,completed,candidates/ieee14/ieee14_lexicographic_metadata_v01.json
ieee14_lexicographic_metadata_v02,ieee14,lexicographic_metadata,2,14201,True,False,included,,"[15,16,17,18,24,25,26,27]","[14,15,16,22,23,24,25,26]",7833623190ebace3a6e39b45d275e9a665b311f04e4a34ebaf459c572557395e,20.0,"{""p_injection"":8}","{""voltage"":8}",completed,completed,candidates/ieee14/ieee14_lexicographic_metadata_v02.json
ieee14_lexicographic_metadata_v03,ieee14,lexicographic_metadata,3,14201,True,False,included,,"[17,22,31,34,36,63,65,79]","[2,7,8,9,16,17,19,21]",60e48ea7cc6e78abdb58f6da23a56ba17768676ee4af7c8a65befdca806c0ba3,34.0,"{""p_injection"":2,""q_branch_flow"":3,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_lexicographic_metadata_v03.json
ieee14_measurement_balanced_v00,ieee14,measurement_balanced,0,14201,True,False,included,,"[0,17,18,29,31,32,48,68]","[0,2,3,13,14,15,16,17]",5de80a9dc350e6a1729977ca44b6cd1d583eed11e93cea9c4e989f1cde80cdfd,45.0,"{""p_branch_flow"":1,""p_injection"":2,""q_branch_flow"":1,""q_injection"":3,""voltage_magnitude"":1}","{""angle"":3,""voltage"":5}",completed,completed,candidates/ieee14/ieee14_measurement_balanced_v00.json
ieee14_measurement_balanced_v01,ieee14,measurement_balanced,1,14201,True,False,included,,"[1,15,18,29,31,32,42,62]","[0,2,3,13,14,15,16,17]",3c401d506e4c93db877fb99bab6614aa049a164287fe788c3e769554c0e6ce0a,44.0,"{""p_branch_flow"":1,""p_injection"":2,""q_branch_flow"":1,""q_injection"":3,""voltage_magnitude"":1}","{""angle"":3,""voltage"":5}",completed,completed,candidates/ieee14/ieee14_measurement_balanced_v01.json
ieee14_measurement_balanced_v02,ieee14,measurement_balanced,2,14201,True,False,included,,"[15,17,22,29,36,57,62,77]","[0,2,7,8,14,16,21,22]",4984d2e10b0b826695f23aa8c85127a544e4375e4c9243705a3154ef3c3ca5af,36.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":2,""q_injection"":2}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_measurement_balanced_v02.json
ieee14_measurement_balanced_v03,ieee14,measurement_balanced,3,14201,True,False,included,,"[3,22,28,36,42,56,57,76]","[0,5,7,8,16,19,21,22]",6905df112d22e7854b2b83f1946e1bc333ae5ddabd721d57648954b1c0bc96b8,29.0,"{""p_branch_flow"":3,""p_injection"":1,""q_branch_flow"":1,""q_injection"":2,""voltage_magnitude"":1}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_measurement_balanced_v03.json
ieee14_mixed_state_v00,ieee14,mixed_state,0,14201,True,False,included,,"[14,15,17,18,28,29,31,32]","[0,2,3,7,13,14,16,17]",2ef72b551ef4373a933e4f5ef060f64f24c745d2d662669d91f1a2f4514b35d2,52.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_mixed_state_v00.json
ieee14_mixed_state_v01,ieee14,mixed_state,1,14201,True,False,included,,"[17,20,22,31,34,36,56,76]","[0,2,5,7,8,14,19,21]",1ff35338d3c83939210d1926580283059bea43ec31aa9886c6f8345ce3941451,44.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":5,""voltage"":3}",completed,completed,candidates/ieee14/ieee14_mixed_state_v01.json
ieee14_mixed_state_v02,ieee14,mixed_state,2,14201,True,False,included,,"[19,20,22,24,34,36,38,77]","[4,5,8,11,18,19,21,22]",458e0b4cba38547ef260da7348a68961a9f714b4791ac8acc4ddd0916666448f,30.0,"{""p_injection"":4,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_mixed_state_v02.json
ieee14_mixed_state_v03,ieee14,mixed_state,3,14201,True,False,included,,"[19,24,26,33,38,40,54,74]","[4,9,10,11,18,22,23,25]",7b2a0b01383afdc0a3479037d7e106e0f834677987c0233d0b6dab4f0ed22953,42.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_mixed_state_v03.json
ieee14_seeded_random_v00,ieee14,seeded_random,0,14201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee14_seeded_random_v01,ieee14,seeded_random,1,14201,True,False,included,,"[15,34,36,40,50,60,72,79]","[1,7,8,9,13,19,20,25]",159509ca4c462aa8318cde7496657d9a65e4e3470a3f8001241b47506e163ff4,14.0,"{""p_branch_flow"":2,""p_injection"":1,""q_branch_flow"":2,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_seeded_random_v01.json
ieee14_seeded_random_v02,ieee14,seeded_random,2,14201,True,False,included,,"[0,15,35,40,43,55,57,72]","[4,8,9,10,13,19,22,23]",77f545fe53a9ac6c0c74af9d817bb152a6c2cd4800fa2a1860aaa3b28427caba,12.0,"{""p_branch_flow"":3,""p_injection"":1,""q_branch_flow"":1,""q_injection"":2,""voltage_magnitude"":1}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_seeded_random_v02.json
ieee14_seeded_random_v03,ieee14,seeded_random,3,14201,True,False,included,,"[9,15,24,26,29,32,55,62]","[0,1,9,11,17,19,22,24]",dc7df17ed2d1eee629e5fad7e1a76c6d898c91067e147366de49fb1481a1dc17,15.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":2,""voltage_magnitude"":1}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_seeded_random_v03.json
ieee14_topology_local_v00,ieee14,topology_local,0,14201,True,False,included,,"[15,17,18,29,31,32,48,68]","[0,2,3,7,14,16,17,21]",fcd866e85344216167b57b912497cc473229840688d6a63721b14c050e397aac,48.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_topology_local_v00.json
ieee14_topology_local_v01,ieee14,topology_local,1,14201,True,False,included,,"[17,20,22,31,34,36,57,77]","[2,5,7,8,16,19,21,22]",940a7028a14be567e49cbb06e709f1107d88a2ef4859cc9f146cb27716320a24,48.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_topology_local_v01.json
ieee14_topology_local_v02,ieee14,topology_local,2,14201,True,False,included,,"[15,16,17,18,29,30,31,32]","[0,1,2,3,14,15,16,17]",20d1968f5020de2bc4fd8fe60e42facf97bc9f6be0454ef3d9e7ab4196b11c64,56.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_topology_local_v02.json
ieee14_topology_local_v03,ieee14,topology_local,3,14201,True,False,included,,"[22,23,27,36,37,41,57,77]","[7,8,11,12,21,22,25,26]",be842ea25dbe81e16c81623d38eb21746724cac0d23c55dded02d2f560ad1d4d,40.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee14/ieee14_topology_local_v03.json
ieee14_voltage_dominant_v00,ieee14,voltage_dominant,0,14201,True,False,included,,"[15,17,18,22,29,31,32,36]","[13,14,16,17,18,19,21,22]",dd88acff4311978edfcd4265fd5ae07bfcec7d320489bd17e6c762021e4ac589,36.0,"{""p_injection"":4,""q_injection"":4}","{""voltage"":8}",completed,completed,candidates/ieee14/ieee14_voltage_dominant_v00.json
ieee14_voltage_dominant_v01,ieee14,voltage_dominant,1,14201,True,False,included,,"[19,22,23,31,33,36,37,38]","[7,15,18,19,21,22,23,25]",c391364dbd81db9a4b73bc71ba93b1f62b290f2d9d2e316893ce6ff478d7088f,29.0,"{""p_injection"":3,""q_injection"":5}","{""angle"":1,""voltage"":7}",completed,completed,candidates/ieee14/ieee14_voltage_dominant_v01.json
ieee14_voltage_dominant_v02,ieee14,voltage_dominant,2,14201,True,False,included,,"[19,24,25,26,33,38,39,40]","[4,11,18,22,23,24,25,26]",e86982cfbadf7d0660f05e5bec26c4cba22a3881499e68d3c54250647afd70f8,42.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":2,""voltage"":6}",completed,completed,candidates/ieee14/ieee14_voltage_dominant_v02.json
ieee14_voltage_dominant_v03,ieee14,voltage_dominant,3,14201,True,False,included,,"[15,17,18,29,30,31,32,33]","[2,3,14,15,16,17,23,24]",f234e287de3bdaf370c56925f5d138e2b6122ca6b038cb4649e3b3758a62f2cf,42.0,"{""p_injection"":3,""q_injection"":5}","{""angle"":2,""voltage"":6}",completed,completed,candidates/ieee14/ieee14_voltage_dominant_v03.json
ieee14_voltage_measurement_heavy_v00,ieee14,voltage_measurement_heavy,0,14201,True,False,included,,"[0,1,2,3,42,48,62,68]","[0,2,3,13,14,15,16,17]",c2c7a1689e7e4d0c013baaabbbe97bce75577f122c8d1182e4e390ae7b69ee2a,18.0,"{""p_branch_flow"":2,""q_branch_flow"":2,""voltage_magnitude"":4}","{""angle"":3,""voltage"":5}",completed,completed,candidates/ieee14/ieee14_voltage_measurement_heavy_v00.json
ieee14_voltage_measurement_heavy_v01,ieee14,voltage_measurement_heavy,1,14201,True,False,included,,"[3,4,5,6,54,56,76,77]","[5,7,16,17,18,19,21,22]",d47a71b6d4c63dae38613133509625b8336f0ef389f36717c6a118cc028d8163,16.0,"{""p_branch_flow"":2,""q_branch_flow"":2,""voltage_magnitude"":4}","{""angle"":2,""voltage"":6}",completed,completed,candidates/ieee14/ieee14_voltage_measurement_heavy_v01.json
ieee14_voltage_measurement_heavy_v02,ieee14,voltage_measurement_heavy,2,14201,True,False,included,,"[6,7,8,9,45,46,55,75]","[0,5,6,14,19,20,21,22]",4f8dfde960153b220a7ef2dc2904ed9a4de3fc1da6dcded8ae623108fcc5f8a9,16.0,"{""p_branch_flow"":3,""q_branch_flow"":1,""voltage_magnitude"":4}","{""angle"":3,""voltage"":5}",completed,completed,candidates/ieee14/ieee14_voltage_measurement_heavy_v02.json
ieee14_voltage_measurement_heavy_v03,ieee14,voltage_measurement_heavy,3,14201,True,False,included,,"[9,10,11,12,47,49,65,67]","[1,2,15,16,22,23,24,25]",94ed98676961657b36ec5744aab52d167920ee48521e5e302b3f94b4801c18de,16.0,"{""p_branch_flow"":2,""q_branch_flow"":2,""voltage_magnitude"":4}","{""angle"":2,""voltage"":6}",completed,completed,candidates/ieee14/ieee14_voltage_measurement_heavy_v03.json
ieee30_angle_dominant_v00,ieee30,angle_dominant,0,30201,True,False,included,,"[33,35,39,50,51,63,65,69]","[0,1,2,4,6,8,19,20]",1b57b078d0e92ed317858de483f6df4b9117cd6bfbfed3ae71fafe8aa3bb48b3,32.0,"{""p_injection"":5,""q_injection"":3}","{""angle"":8}",completed,completed,candidates/ieee30/ieee30_angle_dominant_v00.json
ieee30_angle_dominant_v01,ieee30,angle_dominant,1,30201,True,False,included,,"[31,32,33,35,37,63,65,93]","[0,1,2,6,8,10,26,32]",aacaad574c992be191ef4dcd2ee5cc0a376c93d84759a1cd0028f0fa8084c908,33.0,"{""p_branch_flow"":1,""p_injection"":5,""q_injection"":2}","{""angle"":7,""voltage"":1}",completed,completed,candidates/ieee30/ieee30_angle_dominant_v01.json
ieee30_angle_dominant_v02,ieee30,angle_dominant,2,30201,True,False,included,,"[35,37,39,48,49,57,65,113]","[0,4,5,6,15,17,18,26]",c8d017c6affab87a15d4d2c7ff237c6bfbb1b3eaf6b0a1a671c99a66b24803c5,25.0,"{""p_branch_flow"":1,""p_injection"":6,""q_injection"":1}","{""angle"":8}",completed,completed,candidates/ieee30/ieee30_angle_dominant_v02.json
ieee30_angle_dominant_v03,ieee30,angle_dominant,3,30201,True,False,included,,"[36,39,41,44,48,49,69,113]","[3,5,7,10,13,15,17,18]",d8e89b859b9c4fb6d7428cf57d544916684bef38a6d269d180a96f8d51e47813,18.0,"{""p_branch_flow"":1,""p_injection"":6,""q_injection"":1}","{""angle"":8}",completed,completed,candidates/ieee30/ieee30_angle_dominant_v03.json
ieee30_branch_flow_heavy_v00,ieee30,branch_flow_heavy,0,30201,True,False,included,,"[93,96,99,118,134,137,140,159]","[2,4,19,20,32,34,49,50]",69d5f9081ae0495c63e6608d2eab5ae803f59926296f739ab8cc70b70a1da4d2,24.0,"{""p_branch_flow"":4,""q_branch_flow"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_branch_flow_heavy_v00.json
ieee30_branch_flow_heavy_v01,ieee30,branch_flow_heavy,1,30201,True,False,included,,"[35,65,90,116,130,131,157,171]","[0,4,26,29,30,34,38,56]",4fc7992cfa933bc640b238a06b26a1b04fd298b6e43ef19d091c6775a852af7d,30.0,"{""p_branch_flow"":3,""p_injection"":1,""q_branch_flow"":3,""q_injection"":1}","{""angle"":3,""voltage"":5}",completed,completed,candidates/ieee30/ieee30_branch_flow_heavy_v01.json
ieee30_branch_flow_heavy_v02,ieee30,branch_flow_heavy,2,30201,True,False,included,,"[97,98,103,115,138,139,144,156]","[4,5,8,15,34,35,38,45]",1f38b20c227eefb3027f81879d809013f55402e37c81a86d7b0ddac9c3b97c40,24.0,"{""p_branch_flow"":4,""q_branch_flow"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_branch_flow_heavy_v02.json
ieee30_branch_flow_heavy_v03,ieee30,branch_flow_heavy,3,30201,True,False,included,,"[41,71,105,107,112,146,148,153]","[10,11,16,17,40,41,46,47]",4f71f4406cefdff43d504c3383c724d0735ad8e7f57bb28cd297389600553518,28.0,"{""p_branch_flow"":3,""p_injection"":1,""q_branch_flow"":3,""q_injection"":1}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_branch_flow_heavy_v03.json
ieee30_injection_heavy_v00,ieee30,injection_heavy,0,30201,True,False,included,,"[33,35,50,51,63,65,80,81]","[4,8,19,20,34,38,49,50]",dc343ae5eff531b9acfbb53bd34631e1180e3d5e76d4529c4a660b4147b16485,36.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_injection_heavy_v00.json
ieee30_injection_heavy_v01,ieee30,injection_heavy,1,30201,True,False,included,,"[31,32,37,39,61,62,67,69]","[0,2,4,8,29,32,34,38]",ba838a06c8a046abc256699c1e2906b7f96fdac13228b77db42af9bed73c19ff,30.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_injection_heavy_v01.json
ieee30_injection_heavy_v02,ieee30,injection_heavy,2,30201,True,False,included,,"[35,36,41,48,57,71,78,87]","[4,10,17,26,34,40,47,56]",39bcce232acc12fe05dd7ac8df2a61695c8fb136cb8277a8ca1d8a94819ba8a1,22.0,"{""p_injection"":5,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_injection_heavy_v02.json
ieee30_injection_heavy_v03,ieee30,injection_heavy,3,30201,True,False,included,,"[38,44,46,49,66,68,74,79]","[4,7,8,13,34,37,38,43]",fa22d4e904ce97003640966f1ed8e958978299ec9210b6600a0915587d4c4d8f,24.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_injection_heavy_v03.json
ieee30_lexicographic_metadata_v00,ieee30,lexicographic_metadata,0,30201,True,False,included,,"[105,106,107,108,114,115,116,117]","[8,10,11,12,13,14,15,38]",60dc43d02f0c1d1ca6633816639787c15b74e67550804bf56db6d8ef3411e123,17.0,"{""p_branch_flow"":8}","{""angle"":7,""voltage"":1}",completed,completed,candidates/ieee30/ieee30_lexicographic_metadata_v00.json
ieee30_lexicographic_metadata_v01,ieee30,lexicographic_metadata,1,30201,True,False,included,,"[39,90,110,112,113,118,120,121]","[0,15,16,17,18,19,20,21]",1b800713e160dd16f557c6ca4f5428ebeeb11b75c24ce10b510bcd8d36302a93,14.0,"{""p_branch_flow"":7,""p_injection"":1}","{""angle"":8}",completed,completed,candidates/ieee30/ieee30_lexicographic_metadata_v01.json
ieee30_lexicographic_metadata_v02,ieee30,lexicographic_metadata,2,30201,True,False,included,,"[54,56,84,93,125,126,127,128]","[1,25,26,27,28,53,55,57]",432197881dab55014e5bca9694494858db89f93db8cedf879b87dedcd2e4b07b,27.0,"{""p_branch_flow"":5,""p_injection"":2,""q_injection"":1}","{""angle"":5,""voltage"":3}",completed,completed,candidates/ieee30/ieee30_lexicographic_metadata_v02.json
ieee30_lexicographic_metadata_v03,ieee30,lexicographic_metadata,3,30201,True,False,included,,"[98,99,100,101,102,103,129,130]","[4,5,6,7,8,26,34,37]",874f5045b2caa8586def81f5c07e02b60c51d4280c8cba7a397f8066e91c0a50,23.0,"{""p_branch_flow"":8}","{""angle"":6,""voltage"":2}",completed,completed,candidates/ieee30/ieee30_lexicographic_metadata_v03.json
ieee30_measurement_balanced_v00,ieee30,measurement_balanced,0,30201,True,False,included,,"[35,50,51,65,69,80,118,159]","[4,8,19,20,34,38,49,50]",decd94b0c69f8ce8254495a5ca4656454041a178da70ebf4bc5e5ead9ee5e956,42.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_measurement_balanced_v00.json
ieee30_measurement_balanced_v01,ieee30,measurement_balanced,1,30201,True,False,included,,"[50,51,69,80,81,93,118,137]","[2,8,19,20,32,38,49,50]",6c6f01e3f5fa769e38c988cb93d46ce7476d78d7400ce1ab8754b3e8aeee8b1a,38.0,"{""p_branch_flow"":2,""p_injection"":2,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_measurement_balanced_v01.json
ieee30_measurement_balanced_v02,ieee30,measurement_balanced,2,30201,True,False,included,,"[2,33,51,63,81,96,137,140]","[2,4,20,31,32,34,49,50]",b83c9b4f24039d48fca7886cb14b097ab09a62bd064e357c6ea6a7aa9b8fdfee,27.0,"{""p_branch_flow"":1,""p_injection"":2,""q_branch_flow"":2,""q_injection"":2,""voltage_magnitude"":1}","{""angle"":3,""voltage"":5}",completed,completed,candidates/ieee30/ieee30_measurement_balanced_v02.json
ieee30_measurement_balanced_v03,ieee30,measurement_balanced,3,30201,True,False,included,,"[3,33,63,93,96,99,134,140]","[1,2,4,6,31,32,34,36]",f7c3f40fb24774af12ccc7b038f17fe2efebef6f7daff9bf93f6af1b4f31dff3,33.0,"{""p_branch_flow"":3,""p_injection"":1,""q_branch_flow"":2,""q_injection"":1,""voltage_magnitude"":1}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_measurement_balanced_v03.json
ieee30_mixed_state_v00,ieee30,mixed_state,0,30201,True,False,included,,"[35,39,50,65,69,80,118,159]","[2,4,19,20,32,34,49,50]",7a6b54d58ea641cbbeea10de1f22a922378ef76eaba8065a23a35bcc52e00c72,36.0,"{""p_branch_flow"":1,""p_injection"":3,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_mixed_state_v00.json
ieee30_mixed_state_v01,ieee30,mixed_state,1,30201,True,False,included,,"[35,39,50,51,65,69,80,81]","[2,8,20,32,36,38,49,50]",9ca8197b8f2b24540e760393b6ed0eb0871345e516a58b8f95b1c33df0e95212,40.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":3,""voltage"":5}",completed,completed,candidates/ieee30/ieee30_mixed_state_v01.json
ieee30_mixed_state_v02,ieee30,mixed_state,2,30201,True,False,included,,"[30,33,35,39,60,63,65,69]","[0,1,6,8,30,31,36,38]",18638e716c25d34d31af7743121a5a7305b2a1357e6b1639aadfa485174722ac,32.0,"{""p_injection"":4,""q_injection"":4}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_mixed_state_v02.json
ieee30_mixed_state_v03,ieee30,mixed_state,3,30201,True,False,included,,"[30,31,35,37,60,61,65,131]","[0,4,6,26,29,30,31,56]",45171da99550f334e9a9625960fdadc6be8c44dd32c0f99ced43387d11ee5850,35.0,"{""p_injection"":4,""q_branch_flow"":1,""q_injection"":3}","{""angle"":4,""voltage"":4}",completed,completed,candidates/ieee30/ieee30_mixed_state_v03.json
ieee30_seeded_random_v00,ieee30,seeded_random,0,30201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee30_seeded_random_v01,ieee30,seeded_random,1,30201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee30_seeded_random_v02,ieee30,seeded_random,2,30201,True,False,excluded,candidate_generation_failure:CandidateGenerationError:seeded-random active-block retry limit exceeded,,,,,,,,,
ieee30_seeded_random_v03,ieee30,seeded_random,3,30201,True,False,included,,"[32,61,69,97,125,156,167,169]","[8,26,27,30,32,33,38,49]",8f849666081772a15fddfdbc7223f1e92c64cba979d5d0ccecdcc2b3e99e387a,13.0,"{""p_branch_flow"":2,""p_injection"":1,""q_branch_flow"":3,""q_injection"":2}","{""angle"":3,""voltage"":5}",completed,completed,candidates/ieee30/ieee30_seeded_random_v03.json
